full_name,description,language,stars,link
vllm-project/aibrix,Cost-efficient and pluggable Infrastructure components for GenAI inference,Jupyter Notebook,2383,https://github.com/vllm-project/aibrix
al1abb/invoify,"An invoice generator app built using Next.js, Typescript, and Shadcn",TypeScript,4188,https://github.com/al1abb/invoify
NirDiamant/GenAI_Agents,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",Jupyter Notebook,7002,https://github.com/NirDiamant/GenAI_Agents
deepseek-ai/awesome-deepseek-integration,,,22374,https://github.com/deepseek-ai/awesome-deepseek-integration
mishushakov/llm-scraper,Turn any webpage into structured data using LLMs,TypeScript,4224,https://github.com/mishushakov/llm-scraper
drawdb-io/drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",JavaScript,24534,https://github.com/drawdb-io/drawdb
ggerganov/ggwave,Tiny data-over-sound library,C++,4358,https://github.com/ggerganov/ggwave
maybe-finance/maybe,The OS for your personal finances,Ruby,41277,https://github.com/maybe-finance/maybe
langgenius/dify,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",TypeScript,73749,https://github.com/langgenius/dify
FreeTubeApp/FreeTube,An Open Source YouTube app for privacy,JavaScript,15894,https://github.com/FreeTubeApp/FreeTube
